timestamp,document,total_tokens,num_chunks,avg_chunk_size,max_chunk_size,min_chunk_size,tokenization_time,chunking_time
2024-09-08T16:04:35.310744,embeddings,embedding_generation_end_time,1725825875.3107443
2024-09-08T16:04:35.310744,embeddings,embedding_generation_time,1.9757227897644043
2024-09-10T09:49:38.124031,chunks,total_words,4295
2024-09-10T09:49:38.124031,chunks,num_chunks,10
2024-09-10T09:49:38.124031,chunks,avg_chunk_size,3527.2
2024-09-10T09:49:38.124031,chunks,max_chunk_size,5148
2024-09-10T09:49:38.124031,chunks,min_chunk_size,1730
2024-09-10T09:49:38.124031,chunks,document,Biosafety_Guidance.txt
2024-09-10T09:49:41.880869,chunks,total_words,4295
2024-09-10T09:49:41.880869,chunks,num_chunks,10
2024-09-10T09:49:41.880869,chunks,avg_chunk_size,3527.2
2024-09-10T09:49:41.880869,chunks,max_chunk_size,5148
2024-09-10T09:49:41.880869,chunks,min_chunk_size,1730
2024-09-10T09:49:41.880869,chunks,document,Biosafety_Guidance.txt
2024-09-10T09:49:42.966207,chunks,total_words,4295
2024-09-10T09:49:42.966207,chunks,num_chunks,10
2024-09-10T09:49:42.966207,chunks,avg_chunk_size,3527.2
2024-09-10T09:49:42.966207,chunks,max_chunk_size,5148
2024-09-10T09:49:42.966207,chunks,min_chunk_size,1730
2024-09-10T09:49:42.966207,chunks,document,Biosafety_Guidance.txt
2024-09-10T09:49:43.393234,chunks,total_words,4295
2024-09-10T09:49:43.393234,chunks,num_chunks,10
2024-09-10T09:49:43.393234,chunks,avg_chunk_size,3527.2
2024-09-10T09:49:43.393234,chunks,max_chunk_size,5148
2024-09-10T09:49:43.393234,chunks,min_chunk_size,1730
2024-09-10T09:49:43.393234,chunks,document,Biosafety_Guidance.txt
2024-09-10T09:49:45.073942,chunks,total_words,4295
2024-09-10T09:49:45.073942,chunks,num_chunks,10
2024-09-10T09:49:45.073942,chunks,avg_chunk_size,3527.2
2024-09-10T09:49:45.073942,chunks,max_chunk_size,5148
2024-09-10T09:49:45.073942,chunks,min_chunk_size,1730
2024-09-10T09:49:45.073942,chunks,document,Biosafety_Guidance.txt
2024-09-10T09:50:23.227953,embeddings,num_embeddings,10
2024-09-10T09:50:23.227953,embeddings,embedding_dimension,1536
2024-09-10T09:50:23.227953,embeddings,embedding_generation_start_time,1725976220.1732616
2024-09-10T09:50:23.227953,embeddings,embedding_generation_end_time,1725976223.227954
2024-09-10T09:50:23.227953,embeddings,embedding_generation_time,3.054692268371582
2024-09-10T09:54:41.700750,embeddings,num_embeddings,10
2024-09-10T09:54:41.700750,embeddings,embedding_dimension,1536
2024-09-10T09:54:41.700750,embeddings,embedding_generation_start_time,1725976479.485608
2024-09-10T09:54:41.700750,embeddings,embedding_generation_end_time,1725976481.7007508
2024-09-10T09:54:41.700750,embeddings,embedding_generation_time,2.2151427268981934
2024-09-10T10:13:46.715561,embeddings,num_embeddings,10
2024-09-10T10:13:46.715561,embeddings,embedding_dimension,1536
